trade_id,asset,setup,entry_date,entry_price,stop_loss,take_profit,exit_date,exit_price,exit_reason,return_pct,holding_period,is_winner
1,-P-HIZ,momentum_acceleration,2024-02-29,16.8538,15.028728571428571,20.503942857142857,2024-03-01,15.028728571428571,stop_loss,-0.10828842329750132,1,False
2,-P-HIZ,momentum_acceleration,2024-03-08,15.1731,13.157807142857141,19.203685714285715,2024-03-15,13.157807142857141,stop_loss,-0.13282011303839414,4,False
3,-P-HIZ,momentum_acceleration,2024-03-22,13.699,11.765103571428572,17.566792857142858,2024-04-08,11.746,time_exit,-0.1425651507409299,10,False
4,-P-HIZ,momentum_acceleration,2024-03-25,15.0229,12.937610714285714,19.19347857142857,2024-04-08,12.937610714285714,stop_loss,-0.13880737312464875,9,False
5,-P-HIZ,momentum_acceleration,2024-05-14,15.4923,13.49394642857143,19.48900714285714,2024-05-24,19.48900714285714,take_profit,0.2579802316542501,8,True
6,-P-HIZ,momentum_acceleration,2024-06-21,19.6236,17.76182142857143,23.347157142857142,2024-06-24,23.347157142857142,take_profit,0.18974893204392385,1,True
7,-P-HIZ,momentum_acceleration,2024-06-24,23.4732,21.0975,28.224599999999995,2024-06-25,21.0975,stop_loss,-0.10120903839272011,1,False
8,-P-HIZ,momentum_acceleration,2024-09-03,21.5954,18.776460714285715,27.233278571428574,2024-09-17,19.9522,time_exit,-0.07609027848523298,10,False
9,-P-HIZ,momentum_acceleration,2024-09-05,20.0931,16.836814285714283,26.60567142857143,2024-09-19,20.9005,time_exit,0.04018294837531289,10,True
10,-P-HIZ,momentum_acceleration,2024-09-06,20.9193,17.53595357142857,27.685992857142857,2024-09-20,17.4547,time_exit,-0.1656173963755958,10,False
11,-P-HIZ,momentum_acceleration,2024-09-10,20.6283,16.963885714285713,27.95712857142857,2024-09-24,17.4547,time_exit,-0.1538468996475716,10,False
12,-P-HIZ,momentum_acceleration,2024-10-31,21.8395,19.575046428571433,26.36840714285714,2024-11-14,19.248,time_exit,-0.1186611415096499,10,False
13,-P-HIZ,momentum_acceleration,2024-12-06,20.8442,18.63213928571429,25.268321428571426,2024-12-20,19.6706,time_exit,-0.056303432129801156,10,False
14,-P-HIZ,momentum_acceleration,2025-04-22,20.6564,18.48041428571429,25.00837142857143,2025-04-29,18.48041428571429,stop_loss,-0.1053419625048756,5,False
15,-P-HIZ,momentum_acceleration,2025-04-25,20.0931,17.62314642857143,25.03300714285714,2025-05-09,19.1541,time_exit,-0.04673246039685264,10,False
16,-P-HIZ,momentum_acceleration,2025-06-09,17.7645,15.766575000000003,21.76035,2025-06-24,19.3869,time_exit,0.09132821075740938,10,True
17,-P-HIZ,momentum_acceleration,2025-06-17,18.9992,16.86922142857143,23.25915714285714,2025-07-02,19.3385,time_exit,0.017858646679860257,10,True
18,-P-HIZ,momentum_acceleration,2025-06-24,19.3869,17.091364285714285,23.97797142857143,2025-07-09,18.3206,time_exit,-0.055001057415058674,10,False
19,-P-HIZ,momentum_acceleration,2025-07-08,18.9992,17.33468214285714,22.32823571428571,2025-07-22,19.29,time_exit,0.015305907617162884,10,True
20,-P-HIZ,momentum_acceleration,2025-08-21,18.4176,16.910410714285714,21.431978571428573,2025-08-26,21.431978571428573,take_profit,0.1636683700063295,3,True
21,-P-HIZ,momentum_acceleration,2025-08-25,19.5517,17.972328571428573,22.71044285714286,2025-08-27,22.71044285714286,take_profit,0.16155847609889973,2,True
22,-P-HIZ,momentum_acceleration,2025-08-26,19.8328,18.044692857142856,23.409014285714285,2025-09-10,18.8053,time_exit,-0.05180811584849343,10,False
23,-P-HIZ,momentum_acceleration,2025-08-27,20.3563,18.470114285714285,24.12867142857143,2025-09-10,18.470114285714285,stop_loss,-0.09265857323215498,9,False
24,-P-HIZ,momentum_acceleration,2025-08-29,20.3563,18.350875000000002,24.367150000000002,2025-09-10,18.350875000000002,stop_loss,-0.09851618417885366,7,False
25,-P-HIZ,momentum_acceleration,2025-09-05,20.5501,18.04492857142857,25.560442857142856,2025-09-19,18.99,time_exit,-0.07591690551384189,10,False
26,A,momentum_acceleration,2024-02-28,135.2259,129.49021071428572,146.69727857142857,2024-03-06,146.69727857142857,take_profit,0.08483122368886864,5,True
27,A,momentum_acceleration,2024-02-29,135.5713,129.93793214285716,146.83803571428572,2024-03-06,146.83803571428572,take_profit,0.08310561095368785,4,True
28,A,momentum_acceleration,2024-03-05,142.4703,136.0938642857143,155.22317142857145,2024-03-19,145.4707,time_exit,0.02105982790799188,10,True
29,A,momentum_acceleration,2024-05-10,148.0495,141.5167964285714,161.11490714285713,2024-05-24,148.9392,time_exit,0.006009476560204563,10,True
30,A,momentum_acceleration,2024-07-31,140.0473,133.55242857142858,153.03704285714286,2024-08-05,133.55242857142858,stop_loss,-0.04637627022135682,3,False
31,A,momentum_acceleration,2025-01-14,142.5493,137.72551428571427,152.19687142857143,2025-01-21,152.19687142857143,take_profit,0.0676788411347613,4,True
32,A,momentum_acceleration,2025-01-17,146.4552,140.34295714285713,158.6796857142857,2025-02-03,147.7174,time_exit,0.008618335163244506,10,True
33,A,momentum_acceleration,2025-01-21,151.6332,144.9753107142857,164.94897857142857,2025-02-04,146.1371,time_exit,-0.03624602000089683,10,False
34,A,momentum_acceleration,2025-05-12,115.0902,109.24599642857143,126.77860714285714,2025-05-15,109.24599642857143,stop_loss,-0.05077933283136671,3,False
35,A,momentum_acceleration,2025-05-29,112.8292,107.64877857142858,123.19004285714286,2025-06-12,118.4368,time_exit,0.049699900380397954,10,True
36,A,momentum_acceleration,2025-08-28,124.719,120.50252142857143,133.15195714285713,2025-09-12,123.0023,time_exit,-0.01376454269197147,10,False
37,A,momentum_acceleration,2025-09-04,128.2322,123.75422857142858,137.18814285714285,2025-09-12,123.75422857142858,stop_loss,-0.03492080326603941,6,False
38,A,momentum_acceleration,2025-10-01,138.58,133.67556785714288,148.3888642857143,2025-10-15,139.65,time_exit,0.00772117188627508,10,True
39,A,momentum_acceleration,2025-11-21,151.25,145.15502857142857,163.43994285714285,2025-12-04,145.15502857142857,stop_loss,-0.04029733175914996,8,False
40,A,momentum_acceleration,2025-11-24,153.6,147.72788571428572,165.34422857142857,2025-12-04,147.72788571428572,stop_loss,-0.03822991071428561,7,False
41,A,momentum_acceleration,2025-11-25,157.2,150.55218214285713,170.4956357142857,2025-12-01,150.55218214285713,stop_loss,-0.04228891766630316,3,False
42,AA,momentum_acceleration,2024-04-03,36.4192,33.87464285714285,41.50831428571428,2024-04-17,34.8226,time_exit,-0.04383951322379387,10,False
43,AA,momentum_acceleration,2024-04-15,35.8217,32.97533214285714,41.51443571428572,2024-04-29,36.8796,time_exit,0.02953237841866807,10,True
44,AA,momentum_acceleration,2024-04-17,34.8226,31.960032142857145,40.54773571428572,2024-05-01,33.5492,time_exit,-0.03656820570549013,10,False
45,AA,momentum_acceleration,2024-05-21,43.2894,40.371632142857145,49.12493571428571,2024-05-23,40.371632142857145,stop_loss,-0.06740143908538476,2,False
46,AA,momentum_acceleration,2024-07-11,38.4685,35.6899,44.02569999999999,2024-07-18,35.6899,stop_loss,-0.07223052627474424,5,False
47,AA,momentum_acceleration,2024-09-24,36.2279,33.387564285714284,41.90857142857143,2024-10-08,37.1636,time_exit,0.025828160064480743,10,True
48,AA,momentum_acceleration,2024-09-26,38.6904,35.58964285714285,44.891914285714286,2024-10-10,38.6608,time_exit,-0.0007650476604014189,10,False
49,AA,momentum_acceleration,2024-11-06,44.7882,42.306492857142864,49.75161428571429,2024-11-12,42.306492857142864,stop_loss,-0.0554098432814254,4,False
50,AA,momentum_acceleration,2024-11-15,43.4651,40.50301785714286,49.38926428571428,2024-12-02,45.1239,time_exit,0.03816395222833946,10,True
51,AA,momentum_acceleration,2025-01-22,38.2911,35.906367857142854,43.060564285714285,2025-01-27,35.906367857142854,stop_loss,-0.06227901895890031,3,False
52,AA,momentum_acceleration,2025-05-12,27.8547,26.033657142857145,31.496785714285718,2025-05-27,28.0806,time_exit,0.008109941948755583,10,True
53,AA,momentum_acceleration,2025-08-22,31.5904,29.82682857142857,35.11754285714285,2025-09-08,31.9494,time_exit,0.011364211912479716,10,True
54,AA,momentum_acceleration,2025-10-07,35.4295,33.471689285714284,39.345121428571424,2025-10-21,37.1247,time_exit,0.04784713303885191,10,True
55,AA,momentum_acceleration,2025-10-08,36.9552,34.83694285714285,41.19171428571428,2025-10-22,35.5492,time_exit,-0.03804606658873444,10,False
56,AA,momentum_acceleration,2025-10-20,38.8498,36.27155714285715,44.00628571428572,2025-10-21,36.27155714285715,stop_loss,-0.06636437915106008,1,False
57,AA,momentum_acceleration,2025-10-23,40.0265,36.683589285714284,46.71232142857143,2025-10-30,36.683589285714284,stop_loss,-0.08351743755476282,5,False
58,AAAU,momentum_acceleration,2024-02-01,20.35,20.06854642857143,20.912907142857144,2024-02-05,20.06854642857143,stop_loss,-0.013830642330642351,2,False
59,AAAU,momentum_acceleration,2024-03-20,21.61,21.264196428571427,22.301607142857144,2024-04-01,22.301607142857144,take_profit,0.032004032524624915,7,True
60,AAAU,momentum_acceleration,2024-04-15,23.63,23.07570714285714,24.738585714285712,2024-04-22,23.07570714285714,stop_loss,-0.023457167039477755,5,False
61,AAAU,momentum_acceleration,2024-07-09,23.385,23.011628571428574,24.13174285714286,2024-07-16,24.13174285714286,take_profit,0.031932557500229164,5,True
62,AAAU,momentum_acceleration,2024-10-01,26.3,25.839232142857146,27.221535714285714,2024-10-08,25.839232142857146,stop_loss,-0.017519690385659925,5,False
63,AAAU,momentum_acceleration,2024-12-11,26.855,26.39135,27.7823,2024-12-13,26.39135,stop_loss,-0.017264941351703644,2,False
64,AAAU,momentum_acceleration,2025-07-16,33.06,32.50719642857143,34.16560714285715,2025-07-30,32.50719642857143,stop_loss,-0.016721221156339006,10,False
65,AAAU,momentum_acceleration,2025-10-08,39.94,39.17692857142857,41.466142857142856,2025-10-09,39.17692857142857,stop_loss,-0.019105443880105932,1,False
66,AAAU,momentum_acceleration,2025-11-26,41.1,40.10087142857143,43.09825714285715,2025-12-11,42.19,time_exit,0.02652068126520679,10,True
67,AACBU,momentum_acceleration,2025-05-27,10.5,10.391785714285714,10.71642857142857,2025-05-28,10.71642857142857,take_profit,0.020612244897959098,1,True
68,AACBU,momentum_acceleration,2025-09-02,10.44,10.401417857142857,10.517164285714285,2025-09-05,10.401417857142857,stop_loss,-0.003695607553366176,3,False
69,AACBU,momentum_acceleration,2025-10-03,10.32,10.011428571428572,10.937142857142858,2025-10-07,10.937142857142858,take_profit,0.05980066445182719,2,True
70,AADR,momentum_acceleration,2024-02-14,55.9324,54.02550357142857,59.74619285714286,2024-02-29,56.8781,time_exit,0.016907910263103343,10,True
71,AADR,momentum_acceleration,2024-03-04,58.6231,56.379582142857146,63.11013571428572,2024-03-18,59.5054,time_exit,0.015050381163739246,10,True
72,AADR,momentum_acceleration,2024-03-12,59.3093,57.12670357142857,63.67449285714285,2024-03-26,60.8145,time_exit,0.02537881917338436,10,True
73,AADR,momentum_acceleration,2024-04-03,61.3244,59.09343928571428,65.78632142857143,2024-04-17,58.6083,time_exit,-0.0442906901657415,10,False
74,AADR,momentum_acceleration,2024-05-02,60.1478,58.234389285714286,63.974621428571425,2024-05-07,63.974621428571425,take_profit,0.06362363093199463,3,True
75,AADR,momentum_acceleration,2024-05-03,61.5598,59.41350357142858,65.85239285714286,2024-05-17,63.8249,time_exit,0.036795116293425245,10,True
76,AADR,momentum_acceleration,2024-05-10,62.5894,60.29315714285714,67.18188571428571,2024-05-24,62.4325,time_exit,-0.002506814252892675,10,False
77,AADR,momentum_acceleration,2024-05-13,62.6972,60.40316428571429,67.28527142857143,2024-05-28,62.8639,time_exit,0.0026588109197858145,10,True
78,AADR,momentum_acceleration,2024-05-15,64.1288,61.608382142857145,69.1696357142857,2024-05-30,63.5503,time_exit,-0.009020907922805299,10,False
79,AADR,momentum_acceleration,2024-07-11,62.5491,61.11235714285715,65.42258571428572,2024-07-25,61.11235714285715,stop_loss,-0.0229698406075044,10,False
